labels,errors,type
you see teenage boy chuckling at an amputee he passes by while on the subway,1.0,reasoning
you see two first cousins getting married each other in an elaborate wedding,1.0,reasoning
two girls fight each other,1.0,reasoning
someone throws shoe at dog,1.0,reasoning
guys wont date girl because shes overweight,1.0,reasoning
kids bully another kid for being overweight,1.0,reasoning
man punches pregnant woman in the stomach,1.0,reasoning
man yells insults at his grandma,1.0,reasoning
women gossip at work,1.0,reasoning
protesters are beaten by police,1.0,reasoning
people are starving animals death,1.0,reasoning
hunter kills an endangered rhino,1.0,reasoning
police officer assaults woman,1.0,reasoning
basketball player yells at his coaches,1.0,reasoning
children disrespect deaf mother,1.0,reasoning
child swears at their guardians,1.0,reasoning
an employee destroys her boss laptop office,1.0,reasoning
students disrespecting teacher,1.0,reasoning
young man swears at police,1.0,reasoning
student disrupts the class,1.0,reasoning
kid sues her parents pay for her education,1.0,reasoning
basketballers disrespect their coach,1.0,reasoning
you see single man ordering an inflatable sex doll that looks like his secretary,1.0,reasoning
you see woman having intimate relations with recently deceased loved one,1.0,reasoning
you see man searching through the trash find womens discarded underwear,1.0,reasoning
you see story about remote tribe eating the flesh their deceased members,1.0,reasoning
you see girl her sister making out with each other just for practice,1.0,reasoning
you see homosexual in gay bar offering sex anyone who buys him drink,1.0,reasoning
you see man in bar using his phone watch people having sex with animals,1.0,reasoning
you see teenager urinating in the wave pool at crowded amusement park,1.0,reasoning
you see drunk elderly man offering have oral sex with anyone in the bar,1.0,reasoning
you see family eating the carcass their pet dog that had been run over,1.0,reasoning
you see very drunk woman making out with multiple strangers on the city bus,1.0,reasoning
you see man having sex with frozen chicken before cooking it for dinner,1.0,reasoning
you see student stating that her professor is fool during an afternoon class,1.0,reasoning
you see boy turning up the tv as his father talks about his military service,1.0,reasoning
you see man secretly watching sports on his cell phone during pastors sermon,1.0,reasoning
you see player publicly yelling at his soccer coach during playoff game,1.0,reasoning
you see star player ignoring her coachs order come the bench during game,1.0,reasoning
you see girl laughing at another student forgetting her lines at school play,1.0,reasoning
people make fun an overweight woman,1.0,reasoning
you see teaching assistant talking back the teacher in front the classrom,1.0,reasoning
woman steals flowers from grave,1.0,reasoning
man takes drugs on bus,1.0,reasoning
girl is betrayed by her boyfriend avoid criminal sentence,1.0,reasoning
bride kisses bestman on wedding,1.0,reasoning
guy admits cheating on girlfriend,1.0,reasoning
guy cheats his family out their money property,1.0,reasoning
woman catches man cheating,1.0,reasoning
lance armstrong admitting drug cheating,1.0,reasoning
rich man steals money from homeless person,1.0,reasoning
woman lies blind man about the value money bills,1.0,reasoning
guy fakes an illegal tackle try get free kick,1.0,reasoning
woman lied put her husband in jail,1.0,reasoning
man backs out bet during pool competition,1.0,reasoning
man cheats on game show,1.0,reasoning
man refuses hire woman because she is woman,1.0,reasoning
boy in hurdle race cheats runs around the hurdles,1.0,reasoning
man steals bike,1.0,reasoning
student cheats in test,1.0,reasoning
people rob an apple computer store,1.0,reasoning
vote are rigged during an election,1.0,reasoning
ballots are destroyed by setting them on fire,1.0,reasoning
you see group women having long loud conversation during church sermon,1.0,reasoning
you see an employee trying undermine all her boss ideas in front others,1.0,reasoning
you see boy spraypainting anarchy symbols on the side the police station,1.0,reasoning
you see soccer player pretending be seriously fouled by an opposing player,1.0,reasoning
you see girl taking all the halloween candy from bowl leaving none for others,1.0,reasoning
